ingredients,raw_weights_g,cooking_method,cooked_weight_g,cooked_energy_kcal,cooked_protein_g,cooked_fat_g,cooked_carbohydrate_g,cooked_sodium_mg,cooked_cholesterol_mg,cooked_vitamin_c_mg,cooked_calcium_mg,cooked_iron_mg,cooked_potassium_mg
onion,181.7,stir_fry,170.3,86.7,1.89,1.27,16.93,998.4,0.0,5.14,42.9,1.08,228.3
shrimp,118.5,steam,115.8,97.7,21.19,0.58,1.93,263.1,216.9,0.0,41.3,1.2,231.8
tomato_cabbage,292.0_343.4,stir_fry,581.1,193.8,6.94,4.45,31.49,3878.6,0.0,61.28,195.8,3.17,791.2
tomato,475.7,stir_fry,414.0,133.3,3.97,3.33,21.85,1921.0,0.0,30.92,48.1,1.9,678.9
cucumber,332.9,roast,257.9,78.8,2.4,2.33,12.06,1250.7,0.0,7.91,79.0,1.65,301.2
eggplant,271.6,pan_fry,240.1,79.5,2.8,1.9,12.8,919.0,0.0,3.86,64.7,1.34,330.3
cucumber_grape,290.8_401.3,stir_fry,639.4,279.2,3.97,4.84,54.94,2663.3,0.0,47.64,90.5,3.01,594.2
bell_pepper_cucumber,340.4_278.0,boil,667.0,153.1,6.15,1.16,29.54,377.0,0.0,162.5,93.6,2.93,863.8
ginger,493.7,braise,467.6,365.4,5.88,10.37,62.16,3206.9,0.0,5.89,133.8,7.0,1200.5
pepper,157.2,steam,148.5,580.4,21.9,18.41,81.77,153.6,0.0,0.0,18.8,9.49,1579.8
cabbage_cauliflower_orange_onion,221.1_147.4_359.5_74.5,roast,610.4,362.4,9.09,5.62,68.88,2072.0,0.0,77.94,290.6,4.19,1032.2
cauliflower,183.2,stir_fry,171.4,65.5,3.55,1.28,9.95,960.2,0.0,42.05,42.3,2.03,314.2
small_pepper_pineapple_tomato_chicken,420.4_377.7_472.2_214.2,stir_fry,1330.3,1378.5,50.07,80.98,112.35,6436.1,227.1,259.06,268.6,13.08,2290.9
strawberry,84.9,boil,91.5,28.5,0.76,0.16,6.0,80.7,0.0,15.37,14.7,1.47,79.0
eggplant_pepper_chicken,88.0_251.0_163.0,steam,481.5,1245.5,68.15,45.76,140.26,806.9,172.8,2.12,65.7,17.93,2966.0
ginger,96.7,steam,96.2,50.2,1.22,0.58,10.01,155.6,0.0,1.98,26.0,1.34,261.9
onion_tomato,402.6_191.2,braise,563.5,313.4,5.5,4.16,63.49,3380.8,0.0,22.52,116.9,3.13,747.6
garlic_pepper,266.4_322.5,stir_fry,539.7,1737.1,55.39,64.89,232.88,2669.7,0.0,6.86,140.2,22.37,3501.4
small_pepper,284.4,roast,225.6,159.3,3.44,3.98,27.42,901.2,0.0,93.64,105.5,4.04,526.8
egg,400.7,stir_fry,350.7,753.2,48.48,55.87,14.1,1851.7,2344.1,0.0,227.4,8.08,516.8
pork_cauliflower,387.0_382.4,steam,709.6,1609.6,56.15,141.85,27.09,1005.6,309.6,126.72,110.0,10.28,1406.2
fish_potato,115.0_190.8,braise,294.3,238.7,4.77,2.14,50.1,2059.7,0.0,52.8,26.0,2.12,816.4
eggplant,134.0,stir_fry,121.4,44.7,1.36,0.94,7.7,628.4,0.0,2.37,32.8,0.67,158.7
tomato_apple,213.8_253.3,boil,497.7,181.1,2.23,0.87,41.1,438.9,0.0,20.36,30.4,2.27,456.0
cabbage_ginger,189.4_95.5,stir_fry,265.4,127.8,3.78,3.33,20.67,1100.6,0.0,26.38,120.0,2.5,446.1
tofu,479.0,steam,437.8,382.4,37.3,16.97,20.13,690.3,0.0,0.0,774.9,9.19,550.5
kumquat_tofu,55.9_128.1,boil,207.1,131.7,9.71,4.65,12.74,162.2,0.0,7.56,232.4,2.81,173.8
carrot_beef_pork,359.2_131.3_52.2,braise,531.6,658.8,33.08,36.24,50.09,3782.3,152.1,13.15,147.3,8.67,821.8
small_pepper,365.2,steam,335.2,159.8,4.5,1.4,32.29,399.8,0.0,270.32,136.9,5.05,719.3
small_pepper_pepper_ginger_potato,347.5_74.2_351.7_306.3,pan_fry,959.0,1114.1,24.0,45.56,152.01,5048.0,0.0,182.9,254.3,16.81,2986.4
chicken,318.8,stir_fry,277.3,664.4,54.98,45.99,7.64,1429.6,337.9,0.0,28.4,4.53,706.9
shrimp_cabbage_beef_egg,78.6_160.9_479.7_218.1,stir_fry,818.3,1551.9,131.0,100.2,31.53,5815.6,1822.7,20.92,343.4,21.84,1472.2
ginger,137.3,boil,153.5,68.3,1.56,0.8,13.7,126.4,0.0,2.38,34.7,1.81,279.8
bell_pepper_fish,451.0_245.9,stir_fry,639.4,274.0,8.4,4.88,49.14,3688.6,0.0,259.15,64.0,3.42,1634.6
cabbage_chicken_cucumber,257.3_101.2_282.1,stir_fry,589.4,528.9,22.93,37.07,25.88,3849.8,107.3,44.31,201.2,4.33,714.4
chicken_fish_onion,323.8_443.9_211.7,stir_fry,881.7,1251.9,65.39,83.73,59.2,5767.9,343.2,174.85,120.4,8.06,1947.5
bell_pepper_tomato,183.9_224.2,roast,306.0,138.3,4.02,2.86,24.14,1108.8,0.0,63.47,38.5,1.82,753.4
eggplant,447.1,stir_fry,415.9,146.3,4.47,3.13,25.05,2614.6,0.0,7.09,108.4,2.2,562.6
cucumber,84.0,stir_fry,77.0,20.0,0.61,0.59,3.06,402.9,0.0,2.79,20.3,0.43,69.3
pepper,437.0,stir_fry,393.5,1789.0,61.33,71.12,225.91,1861.9,0.0,0.0,52.7,26.25,3917.3
shrimp,253.1,stir_fry,222.1,232.2,42.2,4.43,5.89,1566.9,463.2,0.0,89.9,2.54,480.2
eggplant_cauliflower,135.4_415.0,boil,569.9,148.4,9.0,1.07,25.69,643.2,0.0,99.65,122.4,5.05,745.1
pork_pineapple_watermelon,366.5_229.2_402.4,stir_fry,916.9,1976.7,46.77,171.11,62.42,4566.0,293.2,21.49,82.7,8.52,1111.6
peach_tofu,241.1_389.7,steam,620.4,433.9,31.21,14.04,45.67,979.2,0.0,8.45,666.6,9.23,832.6
kumquat,341.7,boil,356.2,203.6,3.09,0.64,46.36,253.4,0.0,51.04,184.4,3.23,358.5
watermelon_kumquat_eggplant,436.7_205.7_274.0,roast,677.1,360.4,7.28,4.89,71.81,3268.0,0.0,27.19,214.9,4.79,933.5
cucumber,319.6,roast,248.1,78.8,2.34,2.24,12.33,817.3,0.0,6.48,76.6,1.62,286.3
garlic_cabbage_eggplant,219.8_497.3_97.5,braise,758.8,551.6,16.54,5.7,108.54,6345.5,0.0,65.6,356.0,6.07,1131.8
fish_garlic_chicken_shrimp,260.8_70.7_285.9_254.2,boil,924.2,810.2,97.19,27.63,43.18,1021.0,768.2,103.67,158.8,8.32,1614.4
onion_tofu_shrimp,396.7_420.1_428.6,stir_fry,1133.0,1294.0,107.95,64.68,70.01,6999.8,784.3,10.59,922.5,14.47,1738.0
tomato,414.2,stir_fry,371.4,119.9,3.34,2.9,20.12,1685.0,0.0,25.27,40.8,1.66,549.9
onion,103.2,pan_fry,91.7,46.3,1.05,0.72,8.91,484.1,0.0,2.68,25.3,0.62,125.8
eggplant_shrimp,363.3_408.2,stir_fry,714.9,504.5,73.79,9.69,30.54,3720.6,747.0,5.93,229.3,5.96,1237.8
chicken_eggplant_cabbage,61.9_160.4_379.2,pan_fry,527.2,387.8,17.55,24.14,25.08,2814.9,65.6,51.91,229.9,3.89,759.0
tomato_tofu_cucumber_bell_pepper,160.6_311.3_275.0_117.2,roast,645.3,601.7,28.51,35.27,42.56,2521.6,0.0,47.67,603.8,8.64,1072.1
ginger_onion_eggplant_tomato,428.1_421.4_234.3_471.2,boil,1704.2,545.1,15.04,4.65,110.78,1257.9,0.0,56.16,309.0,10.86,2067.3
bell_pepper_ginger_beef,341.9_315.5_117.6,stir_fry,716.6,603.3,29.64,26.31,62.01,3144.4,98.8,116.35,145.6,10.0,1822.9
fish_onion,143.1_307.1,roast,341.8,205.8,4.7,3.15,39.66,1301.4,0.0,39.21,87.9,2.57,712.9
apple_fish,254.3_324.1,pan_fry,520.7,262.7,4.27,4.05,52.29,2013.3,0.0,96.4,39.7,3.17,1020.7
fish,97.4,steam,96.7,31.5,1.2,0.19,6.24,96.3,0.0,50.62,8.6,0.48,233.2
tomato_banana,375.9_366.3,stir_fry,654.5,472.2,7.97,5.2,98.38,2771.0,0.0,32.68,62.2,2.91,1304.1
eggplant_pork,202.6_348.7,stir_fry,514.8,1565.1,45.23,143.64,22.85,2525.1,279.0,3.82,69.8,6.72,856.4
cabbage_strawberry_carrot,184.9_214.9_388.4,boil,813.7,272.5,7.75,1.53,56.91,1037.8,0.0,91.42,243.9,8.57,911.0
watermelon,420.8,steam,392.0,108.8,2.35,0.42,23.92,535.2,0.0,11.76,33.4,1.28,315.5
onion,467.3,boil,507.7,192.8,4.57,0.9,41.59,387.1,0.0,14.97,106.3,2.67,475.2
cabbage_tofu,238.4_489.3,roast,571.1,633.1,40.89,36.07,36.24,2047.6,0.0,25.98,919.8,10.57,751.4
cauliflower_tomato,163.7_107.6,deep_fry,219.2,77.4,4.02,1.9,11.06,829.2,0.0,19.03,49.0,2.2,403.7
chicken_small_pepper_onion,171.0_209.4_349.3,roast,540.6,741.1,36.06,40.34,58.44,1802.5,181.3,84.46,178.2,7.42,1208.2
beef_potato,457.6_284.0,steam,720.8,772.9,90.76,19.7,58.13,1058.0,384.4,38.41,126.8,17.59,1729.5
tofu_eggplant,414.1_181.2,stir_fry,542.0,750.0,32.85,54.89,31.13,3431.7,0.0,2.87,717.0,8.73,674.6
beef,108.0,pan_fry,91.8,195.8,19.58,12.15,2.05,624.1,90.7,0.0,25.1,3.55,193.0
onion,303.3,stir_fry,268.9,149.2,2.99,2.12,29.54,1066.4,0.0,9.08,72.6,1.8,377.3
egg_cauliflower_ginger,417.1_64.2_214.0,boil,786.4,688.9,52.76,36.91,36.41,861.9,2440.0,20.17,286.1,11.31,962.9
potato_pineapple,75.6_386.1,boil,522.0,235.5,3.14,0.51,54.58,365.5,0.0,36.65,49.8,2.72,465.5
onion,312.6,steam,301.9,129.2,3.24,0.6,27.73,467.1,0.0,11.31,76.3,1.86,396.3
cauliflower,346.5,stir_fry,312.2,121.0,6.67,2.43,18.12,1290.7,0.0,80.38,80.0,3.85,600.4
egg_tofu_garlic,185.7_375.6_60.5,stir_fry,586.1,1015.4,52.96,70.22,42.88,3850.2,1086.3,1.33,747.7,11.75,832.7
ginger,298.5,stir_fry,259.6,198.2,3.66,6.27,31.79,1606.6,0.0,4.46,81.6,4.14,755.9
pineapple_small_pepper_fish,221.1_87.4_327.3,boil,657.9,237.3,6.01,1.18,50.65,402.5,0.0,203.32,85.4,3.95,903.5
tofu_pepper,445.2_239.0,pan_fry,621.1,1713.5,67.31,99.51,137.16,3051.2,0.0,0.0,767.9,22.36,2581.4
cabbage,472.0,stir_fry,405.6,158.0,6.49,3.3,25.57,1798.7,0.0,69.13,228.8,2.85,486.3
eggplant,361.1,braise,347.8,148.8,3.63,2.53,27.88,2945.4,0.0,5.06,86.3,1.77,403.8
egg,495.6,pan_fry,448.6,1000.1,59.24,78.88,13.29,2353.2,2899.3,0.0,279.3,10.06,673.6
beef_cabbage,470.6_104.4,stir_fry,507.8,832.3,88.02,45.25,18.25,3356.0,395.3,14.27,157.6,16.03,990.5
carrot_kumquat_apple_ginger,215.5_433.4_435.7_162.6,boil,1414.8,668.6,8.72,2.94,151.81,1100.3,0.0,85.34,352.3,10.84,1412.2
pork,301.8,stir_fry,276.4,1246.8,36.0,118.11,9.93,1653.8,241.4,0.0,17.8,4.92,545.4
bell_pepper_eggplant,153.2_94.8,stir_fry,224.2,91.3,2.78,1.74,16.15,1045.6,0.0,54.54,36.2,1.25,478.8
bell_pepper,247.9,stir_fry,229.0,97.5,2.9,1.74,17.58,1327.1,0.0,81.37,22.1,1.25,579.7
ginger_small_pepper,53.2_99.9,stir_fry,138.3,89.5,1.83,2.52,14.89,780.7,0.0,49.29,52.2,2.18,321.7
cabbage_onion_tomato_fish,455.5_345.9_483.7_259.0,steam,1411.7,446.5,17.07,3.1,87.58,1517.4,0.0,287.14,384.5,7.89,2252.4
tomato,170.9,pan_fry,140.2,42.4,1.39,1.2,6.51,506.0,0.0,10.29,17.1,0.67,239.8
fish_tomato_small_pepper,345.1_113.7_289.1,braise,717.9,385.0,8.48,7.26,71.45,4845.2,0.0,257.86,147.9,6.18,1481.8
grape_orange_apple,88.4_66.0_139.4,boil,331.4,150.9,1.06,0.57,35.37,227.4,0.0,17.55,31.9,1.24,256.9
carrot_potato_garlic,252.1_62.0_356.7,steam,635.6,605.9,19.31,1.28,129.28,1181.0,0.0,34.74,221.9,7.32,1651.4
beef,353.0,roast,261.7,518.2,62.92,25.02,10.32,1066.7,296.5,0.0,81.3,11.56,668.8
egg_tofu,257.9_368.0,roast,462.0,837.4,60.08,54.08,27.57,2568.8,1508.7,0.0,752.8,11.92,746.7
beef_cauliflower_garlic,161.7_482.0_270.0,stir_fry,795.4,873.9,49.74,29.03,103.41,4352.8,135.8,112.2,249.9,14.06,1752.5
bell_pepper_ginger,147.2_128.3,steam,261.0,115.0,3.5,1.03,22.94,322.7,0.0,85.15,47.9,2.58,698.4
ginger_beef,308.9_450.8,stir_fry,709.5,1072.7,88.48,59.48,45.87,3783.9,378.7,3.95,183.6,18.96,1608.0
small_pepper,303.8,roast,234.3,165.7,3.74,4.25,28.11,711.0,0.0,102.28,113.3,4.19,587.4
tofu_cabbage_chicken_onion,453.0_223.3_328.9_79.1,pan_fry,952.5,1604.3,97.15,117.8,38.87,5266.3,348.6,28.37,907.1,15.01,1506.6
bell_pepper_eggplant,136.6_274.2,deep_fry,307.7,129.3,4.4,2.88,21.46,1060.4,0.0,23.55,76.6,2.08,641.4
potato_bell_pepper_pork_shrimp,198.1_366.1_107.8_412.7,stir_fry,967.6,1547.9,88.67,99.99,73.32,6431.2,841.5,164.87,197.4,9.29,2278.0
bell_pepper_cauliflower,65.5_459.6,steam,482.4,150.0,9.95,1.05,25.2,603.3,0.0,177.19,110.7,5.47,978.1
fish_cucumber,275.8_246.5,stir_fry,462.4,164.5,5.07,3.66,27.82,2276.5,0.0,110.19,84.7,2.62,876.4
garlic_carrot,461.9_269.5,steam,728.7,710.2,22.14,1.41,152.22,1044.9,0.0,31.88,270.0,8.23,1667.6
chicken,469.6,stir_fry,434.6,924.1,83.68,61.11,9.86,2001.6,497.8,0.0,42.8,6.57,1046.8
beef,388.7,stir_fry,355.9,637.7,71.24,33.89,11.94,1987.7,326.5,0.0,88.2,12.62,723.7
pork,187.1,steam,184.4,705.7,23.63,65.92,4.49,284.2,149.7,0.0,11.2,3.02,346.2
carrot_chicken,343.2_290.5,steam,579.4,619.8,58.02,27.99,33.96,1295.0,307.9,23.72,133.4,7.64,1244.8
beef_watermelon_cabbage,312.3_263.6_84.2,steam,615.1,469.2,61.35,13.44,25.71,864.4,262.3,23.05,134.1,11.76,870.7
fish_bell_pepper,59.1_264.2,stir_fry,284.8,128.7,3.75,2.26,23.34,1816.1,0.0,124.87,29.4,1.62,773.8
apple_peach_cauliflower_watermelon,272.8_364.7_443.6_209.8,boil,1419.1,518.3,13.12,1.94,112.1,1123.8,0.0,116.81,146.0,9.65,1368.8
tofu_fish,119.5_147.6,braise,253.5,247.8,10.52,13.41,21.25,1961.9,0.0,46.15,213.0,3.03,453.2
eggplant,134.9,steam,122.6,34.7,1.43,0.26,6.65,190.3,0.0,3.1,32.1,0.67,178.9
carrot_cauliflower_egg,290.1_293.1_317.3,boil,959.7,609.6,44.93,27.23,46.2,1279.1,1856.2,87.29,319.3,11.8,1107.4
garlic_beef,247.8_92.6,deep_fry,273.2,516.8,27.13,15.35,67.54,751.0,77.8,2.46,119.6,5.98,748.8
fish_eggplant_beef,477.1_364.3_394.7,braise,1203.5,1100.5,79.5,49.09,85.2,12565.0,331.5,143.5,224.6,17.3,2253.0
ginger_potato,339.2_221.8,braise,533.6,473.4,7.83,8.68,91.01,5450.8,0.0,21.08,109.8,6.44,1467.1
small_pepper_pepper_pineapple_potato,334.6_290.6_353.9_417.2,steam,1370.1,1717.3,54.67,36.22,293.16,2004.0,0.0,306.13,231.6,27.82,5374.4
carrot_beef,461.5_111.6,braise,556.2,502.9,24.36,19.45,57.61,5403.2,93.7,16.26,174.7,8.3,930.8
cabbage_ginger,429.0_71.4,stir_fry,465.6,187.9,6.93,4.5,29.92,2164.4,0.0,58.02,225.9,3.64,622.6
ginger_tomato,319.3_87.7,boil,461.7,178.4,4.53,1.99,35.6,328.7,0.0,10.61,90.2,4.67,722.0
tomato_beef_carrot,276.8_411.1_224.7,boil,1008.8,611.5,75.93,17.37,37.84,1062.3,345.3,29.65,187.8,15.94,1190.3
potato_eggplant_small_pepper_pepper,456.4_365.0_443.8_431.8,stir_fry,1541.9,3163.2,75.07,153.99,369.23,9648.4,0.0,280.02,345.0,37.04,6602.3
apple,424.2,pan_fry,371.1,243.4,0.78,2.97,53.39,1742.5,0.0,5.41,16.7,2.52,442.9
carrot_onion,312.2_156.4,stir_fry,416.3,226.0,4.39,3.28,44.73,2108.5,0.0,20.15,136.4,4.13,723.1
small_pepper_ginger_carrot_tofu,412.3_81.4_134.9_205.2,stir_fry,756.5,684.8,21.98,35.0,70.47,4534.9,0.0,211.12,555.4,12.05,1412.7
beef,185.3,steam,168.2,224.1,35.04,7.65,3.76,410.3,155.7,0.0,42.4,6.05,377.2
cabbage_carrot_bell_pepper,440.2_124.6_130.3,roast,522.3,260.2,8.85,4.87,45.25,2646.3,0.0,81.48,268.3,4.61,1008.6
egg,100.0,stir_fry,92.6,180.9,12.05,13.11,3.67,608.7,585.0,0.0,57.1,1.99,131.8
onion,90.3,stir_fry,78.5,43.8,0.9,0.63,8.63,392.0,0.0,2.75,21.8,0.53,112.3
orange_tomato_beef,480.7_435.0_371.6,stir_fry,1214.1,1204.9,73.92,61.04,89.98,5186.3,312.1,74.16,292.3,14.87,1919.3
cucumber_cauliflower_egg_potato,282.9_360.4_427.6_338.4,deep_fry,1103.0,1869.3,64.98,138.57,90.56,3834.7,2501.5,49.01,421.2,16.56,2329.1
garlic,458.7,steam,445.8,593.4,19.97,0.9,126.34,678.7,0.0,15.4,181.4,5.61,1236.6
chicken_ginger_egg,428.9_154.5_88.1,steam,625.6,901.9,92.2,48.45,24.27,1176.1,970.0,2.86,127.9,9.78,1448.9
egg_apple_fish_pineapple,164.1_224.4_308.4_298.1,boil,1104.2,575.4,25.53,14.78,85.06,965.7,960.0,151.11,156.8,7.48,1225.4
cabbage_fish_ginger,196.6_438.5_352.3,pan_fry,902.5,436.7,12.2,11.84,70.32,3697.7,0.0,151.05,229.1,8.23,2076.4
garlic_beef_pepper,165.7_372.2_125.7,stir_fry,603.0,1509.5,93.88,72.37,120.67,3251.7,312.6,3.98,165.2,22.07,2245.5
garlic,423.4,stir_fry,378.4,566.4,17.82,2.96,117.1,1482.6,0.0,11.07,165.8,5.1,1108.5
cabbage,201.8,steam,201.6,53.0,2.95,0.4,9.42,337.4,0.0,39.04,97.0,1.21,224.2
bell_pepper_fish,170.8_409.8,boil,640.9,183.1,6.82,1.08,36.55,603.8,0.0,241.93,49.6,2.76,1167.9
bell_pepper,432.9,pan_fry,369.7,154.4,5.23,3.03,26.55,1626.5,0.0,147.41,38.2,2.13,988.3
cabbage_orange,222.4_313.3,steam,521.3,222.8,5.38,1.05,47.96,703.4,0.0,80.56,222.5,1.93,677.2
cauliflower,464.5,deep_fry,368.1,146.4,8.73,3.25,20.56,1217.4,0.0,42.43,106.6,5.17,721.3
shrimp_lemon_tomato,96.1_377.4_86.5,boil,583.8,232.9,19.96,4.85,27.34,563.9,175.9,37.7,401.3,4.09,773.7
egg_shrimp,456.0_329.0,boil,819.5,872.3,109.21,40.54,17.65,1249.4,3269.7,0.0,356.3,11.75,978.8
tomato_small_pepper_egg,104.4_286.1_354.7,stir_fry,672.4,990.4,48.98,67.97,45.71,3239.7,2075.0,144.51,310.9,11.7,1146.0
ginger_bell_pepper,425.8_168.9,deep_fry,437.8,326.6,7.07,10.12,51.81,1247.8,0.0,26.67,131.9,6.73,1320.8
eggplant_carrot_cucumber_potato,253.3_211.9_361.4_391.8,steam,1216.1,509.9,14.71,2.39,107.37,1358.7,0.0,96.64,246.1,8.17,2301.0
egg_pepper,398.3_490.1,braise,885.3,2619.8,112.19,111.65,291.55,7236.2,2330.1,0.0,278.9,37.23,4831.2
grape_bell_pepper_kumquat_cabbage,477.4_198.2_319.6_169.3,boil,1277.5,494.5,9.35,2.25,109.22,808.6,0.0,193.05,285.2,6.67,1259.3
onion_bell_pepper_cauliflower_eggplant,359.2_270.7_96.6_486.7,boil,1310.6,378.6,13.65,2.28,75.85,931.3,0.0,158.83,240.3,6.61,1457.9
shrimp_garlic,123.1_484.8,steam,592.0,739.2,42.9,1.56,138.4,902.4,225.3,18.41,236.8,7.06,1569.6
carrot_pineapple_beef,387.4_369.6_202.4,boil,1015.3,550.8,41.83,9.21,75.16,1126.7,170.0,49.08,203.9,12.04,1135.8
peach_tomato_watermelon,498.9_319.2_62.1,boil,953.0,336.6,6.99,1.14,74.6,887.6,0.0,41.62,63.2,5.27,983.2
chicken,145.8,steam,144.7,239.5,27.24,13.66,1.89,283.8,154.5,0.0,13.1,2.01,342.3
potato_cucumber_beef_shrimp,223.7_316.7_279.1_416.7,steam,1166.8,908.2,134.48,14.24,60.54,2262.4,997.0,48.03,301.9,16.62,2451.2
garlic,261.4,boil,292.4,325.5,10.7,0.48,69.59,286.7,0.0,6.71,97.2,2.95,570.2
cabbage,440.1,stir_fry,414.1,145.1,5.96,3.08,23.39,2423.7,0.0,57.94,213.7,2.62,468.5
peach_strawberry,320.7_298.7,boil,679.8,262.4,5.41,0.85,58.29,543.8,0.0,59.93,68.4,7.5,656.0
pork,206.5,steam,191.2,779.8,26.12,72.87,4.87,393.0,165.2,0.0,12.5,3.32,393.1
cabbage,276.2,stir_fry,242.6,91.2,3.77,1.93,14.67,1717.2,0.0,37.66,135.2,1.64,294.4
pork_eggplant_cucumber_fish,208.1_247.4_126.1_284.8,stir_fry,758.9,1477.1,32.71,128.34,47.78,3065.3,166.5,100.81,126.2,6.72,1497.0
eggplant,160.4,steam,154.7,41.3,1.7,0.32,7.92,177.6,0.0,3.88,39.0,0.79,208.0
banana_grape_cucumber,135.2_192.1_297.3,boil,648.8,259.0,4.7,1.18,57.4,552.1,0.0,34.37,87.4,2.61,621.3
pork,158.2,stir_fry,148.1,640.1,19.11,60.21,5.43,859.2,126.6,0.0,9.6,2.52,278.3
chicken,473.5,boil,535.4,731.8,80.54,42.8,6.1,608.9,501.9,0.0,40.1,6.21,793.9
tomato,222.6,stir_fry,202.2,64.5,1.84,1.56,10.78,774.5,0.0,14.28,22.3,0.87,302.3
eggplant_potato,484.1_181.3,steam,654.0,265.5,8.36,1.3,55.08,735.5,0.0,38.38,128.4,3.82,1125.7
fish,440.5,stir_fry,401.1,175.3,5.33,3.08,31.57,1620.0,0.0,152.52,39.3,2.2,1019.2
carrot_cauliflower,262.1_244.6,stir_fry,459.3,214.4,7.32,3.55,38.3,1939.0,0.0,59.22,137.4,5.27,871.8
carrot,280.5,steam,260.7,116.2,2.71,0.55,25.1,646.7,0.0,16.75,91.3,2.84,500.8
shrimp_beef,400.3_215.0,stir_fry,577.0,832.0,105.55,38.61,15.58,4231.5,913.1,0.0,190.3,11.26,1156.8
carrot,162.7,stir_fry,144.7,76.9,1.53,1.14,15.14,936.4,0.0,7.54,52.4,1.63,270.4
chicken,156.6,steam,142.3,247.4,28.29,14.01,2.04,238.6,166.0,0.0,13.9,2.23,368.0
cucumber_ginger,66.0_375.2,deep_fry,329.9,246.4,4.95,8.34,37.87,1341.8,0.0,3.11,118.6,5.65,978.9
tofu_onion_garlic_egg,295.5_139.0_497.5_400.8,steam,1279.4,1489.4,93.86,46.02,174.95,1965.5,2344.7,22.38,954.2,20.3,2319.3
ginger_pork_chicken,116.0_262.2_490.1,steam,822.7,1849.7,122.98,139.8,24.87,1676.6,729.3,2.18,92.0,12.67,1861.2
pork_eggplant_cucumber,216.6_53.9_353.5,steam,594.3,907.3,30.26,79.47,17.77,879.0,173.3,16.51,112.4,5.5,822.3
grape_peach_eggplant_strawberry,102.7_403.4_338.6_440.3,steam,1218.8,490.7,11.46,2.12,106.43,1937.8,0.0,145.7,191.6,13.4,1678.2
cabbage_shrimp,77.9_475.8,boil,600.2,376.3,77.45,2.45,11.09,1087.1,870.7,12.58,194.7,4.9,794.3
tofu,304.4,stir_fry,269.7,430.6,23.35,31.02,14.51,1736.3,0.0,0.0,490.7,5.7,335.9
cucumber_tofu,480.6_194.1,steam,636.6,234.9,18.21,8.01,22.47,941.1,0.0,22.08,432.5,6.04,671.2
carrot_shrimp_egg_eggplant,392.0_325.3_127.8_324.9,steam,1152.1,674.0,77.87,13.88,59.39,2485.4,1342.9,33.14,387.0,11.33,1961.5
egg,278.8,stir_fry,260.8,509.3,33.58,37.07,10.34,1317.1,1631.0,0.0,157.4,5.66,352.9
beef,279.8,steam,267.5,340.5,53.91,11.4,5.56,544.0,235.0,0.0,65.4,9.1,563.0
eggplant,146.7,boil,156.0,36.5,1.46,0.28,7.05,133.5,0.0,2.94,33.4,0.69,152.3
beef_bell_pepper,428.0_424.7,stir_fry,741.7,1077.3,85.28,62.44,43.55,5284.9,359.5,166.12,134.5,16.47,1826.0
watermelon_apple_beef,239.7_409.0_111.3,boil,782.7,415.4,21.83,5.31,70.06,839.3,93.5,11.75,59.0,6.5,622.6
small_pepper_cucumber,380.3_495.5,stir_fry,794.6,332.2,7.95,8.79,55.32,3078.9,0.0,215.64,259.9,7.73,1139.0
egg,461.4,deep_fry,360.8,1111.4,54.8,93.67,12.29,1996.6,2699.2,0.0,260.2,9.15,569.2
cauliflower_banana_peach,471.3_153.8_218.5,roast,619.5,441.0,12.95,5.14,85.74,3600.8,0.0,84.02,134.1,7.65,1495.0
eggplant_potato,64.4_208.0,boil,291.0,177.0,4.38,0.51,38.71,250.1,0.0,23.87,30.2,1.85,545.5
small_pepper,450.9,boil,511.4,194.9,5.42,1.72,39.44,309.1,0.0,260.82,161.2,5.9,697.1
cabbage,183.3,steam,167.5,47.1,2.59,0.35,8.38,275.8,0.0,34.13,89.1,1.12,205.3
pork_small_pepper,110.7_429.3,roast,405.5,732.7,18.15,54.31,42.82,1311.3,88.6,157.85,168.2,7.66,1031.5
pepper_cucumber_cauliflower_grape,285.9_295.0_249.6_415.7,roast,968.3,1604.0,48.56,63.11,210.43,4505.7,0.0,66.16,183.7,22.61,3826.6
beef,174.4,boil,192.9,201.7,30.89,7.15,3.45,261.5,146.5,0.0,37.8,5.37,269.9
chicken,186.7,pan_fry,167.1,414.9,34.1,29.94,2.27,994.9,197.9,0.0,16.7,2.65,381.3
egg_chicken_garlic_pork,446.0_337.8_380.9_219.1,steam,1360.0,2534.3,161.28,152.3,129.61,2780.9,3142.4,13.63,448.8,21.82,2879.5
peach_fish_pork,387.3_180.3_426.7,pan_fry,853.9,2501.9,57.13,223.65,65.14,3152.4,341.4,58.17,65.6,10.99,1667.9
fish_garlic,153.5_69.6,stir_fry,211.6,152.3,4.72,1.56,29.84,1199.6,0.0,60.83,41.5,1.62,540.9
tomato_beef_cauliflower_potato,137.1_146.0_258.0_208.2,braise,699.0,671.1,35.96,25.69,74.02,4864.4,122.6,67.8,124.2,9.83,1412.6
onion_pepper_fish,426.0_259.7_423.9,steam,1085.3,1284.1,45.54,32.57,202.2,1528.9,0.0,250.24,172.4,20.57,4136.7
small_pepper_potato,394.0_430.5,deep_fry,640.6,546.3,12.0,8.53,105.37,2458.4,0.0,106.09,180.6,8.93,1885.1
potato_eggplant_chicken_tofu,452.0_88.4_99.0_250.7,steam,817.5,740.0,47.2,19.63,93.65,936.0,104.9,63.36,484.9,10.21,2021.0
